,Unnamed: 0,Hestekræfter,Brændstoftype,Biltype,Gearkasse,Årgang,Kilometer,Model,Pris,Link,Sidst synet,Farve,Registreringsdato,Antal døre,Antal gear,Cylindre,Trækhjul,Max påhæng,Tank,Km/l,0 - 100 km/t,Tophastighed,Vægt,Lasteevne,Airbags,Grøn Ejerafgift,Nypris,Nummerplade,Make
13131,13131,83,Benzin,Hatchback,Manuel,2020,0,"Swift 1,2 Hybrid Action",2499,/suzukiswift12hybridaction/id856611,,,,5,5,4,Forhjul,1000,37,"28,2","13,1",180,988,377,7,,155909,,Suzuki
13132,13132,204,Benzin,Hatchback,Automatisk,2018,39000,"Golf VII 1,4 GTE DSG",269900,/vwgolfvii14gtedsg/id856598,,Bordeauxmetal,15092017,5,6,4,Forhjul,1500,40,"35,1","7,6",222,1515,525,7,660,318698,,VW
13133,13133,163,Benzin,Varevogn,Automatisk,2019,40000,"Eclipse Cross 1,5 T 163 Intense+ CVT Van",199900,/mitsubishieclipsecross15t163intensepluscvtvan/id856677,,Hvidmetal,25042019,5,8,4,Forhjul,1600,63,"14,9","9,3",200,1435,715,6,3140,303355,,Mitsubishi
13134,13134,102,Benzin,Cabriolet,Manuel,2007,152000,"New Beetle 1,6 Trendline Cabriolet",99900,/vwnewbeetle16trendlinecabriolet/id856566,,Sølvmetal,03042007,2,5,4,Forhjul,1000,55,13,"12,3",178,1275,495,4,4360,406000,,VW
13135,13135,125,Benzin,Hatchback,Manuel,2018,27000,"Golf VII 1,4 TSi 125 Comfortline",184800,/vwgolfvii14tsi125comfortline/id856605,,Sortmetal,06092017,5,6,4,Forhjul,1400,50,"19,2","9,1",204,1168,582,7,1280,246261,,VW
13136,13136,105,Diesel,MPV,Manuel,2005,235000,"Altea 1,9 TDi 105 Stylance Van",15900,/seataltea19tdi105stylancevan/id856543,,Sølvmetal,25042005,5,5,4,Forhjul,1400,55,,"12,3",183,1380,645,6,,163821,,Seat
13137,13137,60,Benzin,Hatchback,Manuel,2019,36000,"UP! 1,0 MPi 60 Move Up! BMT",99600,/vwup10mpi60moveupbmt/id856623,,Hvid,13092018,5,5,3,Forhjul,,35,"26,2","14,4",162,934,396,4,1000,110717,,VW
13138,13138,180,Benzin,SUV,Manuel,2019,17000,"CX-30 2,0 Sky-X 180 Cosmo",330000,/mazdacx3020skyx180cosmo/id856622,,Perlemorshvid,27112019,5,6,4,Forhjul,1300,51,"23,9","8,5",204,1368,597,7,1080,336197,,Mazda
13139,13139,163,Benzin,Varevogn,Automatisk,2019,40000,"Eclipse Cross 1,5 T 163 Intense+ CVT Van",159900,/mitsubishieclipsecross15t163intensepluscvtvan/id856676,,Hvidmetal,25042019,5,8,4,Forhjul,1600,63,"14,9","9,3",200,1435,715,6,3140,303355,,Mitsubishi
13140,13140,110,Benzin,Stationcar,Manuel,2012,148000,"Megane III 1,6 110 Authentique ST",56500,/renaultmeganeiii16110authentiquest/id856539,,,30012012,5,6,4,Forhjul,1300,60,"14,5","10,5",190,1290,534,6,3140,230900,,Renault
13141,13141,120,Benzin,Hatchback,Manuel,2020,0,"XCeed 1,0 T-GDi Active",239998,/kiaxceed10tgdiactive/id856912,,,01122020,5,6,3,Forhjul,1200,50,"20,4","11,3",186,1215,605,6,1160,273917,,Kia
13142,13142,120,Diesel,MPV,Manuel,2017,64000,"Grand C4 Picasso 1,6 BlueHDi 120 Seduction",194900,/citroengrandc4picasso16bluehdi120seduction/id856574,,Sort,27092017,5,6,4,Forhjul,1500,55,25,"13,6",189,1625,550,7,2180,289883,,Citroën
13143,13143,100,Benzin,Hatchback,Manuel,2008,91000,"C-MAX 1,6 Trend",59900,/fordcmax16trend/id856610,,Blåmetal,10062008,5,5,4,Forhjul,1200,55,"14,5","12,9",175,1272,583,6,3140,251420,,Ford
13144,13144,80,Benzin,Hatchback,Manuel,2008,176000,"Corsa 1,2 16V Enjoy",34900,/opelcorsa1216venjoy/id856547,,Gråmetal,05022008,5,5,4,Forhjul,850,45,"17,2","13,9",168,1060,525,6,1880,161813,,Opel
13145,13145,70,Benzin,Stationcar,Manuel,2013,136000,"Fabia 1,2 12V Fresh Combi",59766,/skodafabia1212vfreshcombi/id856619,,Blå,30042013,5,5,3,Forhjul,800,45,"18,2",15,164,1040,530,6,1280,,,Skoda
13146,13146,204,Benzin,Hatchback,Automatisk,2018,45000,"Golf VII 1,4 GTE DSG",289900,/vwgolfvii14gtedsg/id856597,,Gråmetal,11042018,5,6,4,Forhjul,1500,40,"35,1","7,6",222,1515,525,7,860,318698,,VW
13147,13147,100,Diesel,Van,Manuel,2017,18000,"Transit Connect 1,5 230 L2  TDCi Trend  Van",135900,/fordtransitconnect15230l2tdcitrendvan/id856735,,,30052017,3,5,4,,,,"22,7",,166,2395,,,,,BN21666,Ford
13148,13148,150,Benzin,SUV,Automatisk,2020,6000,"T-Roc 1,5 TSi 150 Sport Team DSG",319900,/vwtroc15tsi150sportteamdsg/id856732,,Sortmetal,05052020,5,7,4,Forhjul,1500,50,"20,8","8,4",205,1250,610,7,1160,325916,,VW
13149,13149,112,Diesel,4x4,Manuel,1996,399000,"Rover Defender 90 2,5 TDi Pick-up",86500,/landroverdefender9025tdipickup/id856720,,Hvid,02051996,3,5,4,4x4,3400,55,"10,9","18,6",137,1750,650,,6350,,,Land
13150,13150,272,Diesel,SUV,Automatisk,2016,69000,"Q7 3,0 TDi 272 S-line quattro Tiptr.",3596,/audiq730tdi272slinequattrotiptr/id856712,,Gråmetal,06062016,5,8,6,4x4,2700,75,"17,5","6,3",234,2070,1050,8,5540,,,Audi
13151,13151,150,Diesel,Sedan,Automatisk,2017,51000,"A4 2,0 TDi 150 Sport S-tr.",309900,/audia420tdi150sportstr/id856572,,Koksmetal,20042017,4,7,4,Forhjul,1700,40,"24,4","8,7",219,1540,440,6,3020,465958,,Audi
13152,13152,130,Diesel,SUV,Automatisk,2016,93000,"Qashqai 1,6 DCi Tekna X-Tronic  5d 6g Aut.",208987,/nissanqashqai16dciteknaxtronic5d6gaut/id856742,01052020,Sort,16062016,4,6,4,,,,"20,4",,183,2005,,,,,BL86496,Nissan
13153,13153,120,Benzin,Hatchback,Manuel,2017,65000,"3 2,0 Sky-G 120 Vision",164700,/mazda320skyg120vision/id862728,,Rødmetal,15052017,5,6,4,Forhjul,1300,51,"19,6","8,9",195,1180,635,6,1280,223585,,Mazda
13154,13154,163,Diesel,Varevogn,Manuel,2012,238000,"Sprinter 316 2,2 CDi R3 Alukasse m/lift",69800,/mercedessprinter31622cdir3alukassemlift/id856695,,Hvid,27062011,2,6,,Baghjul,,,"11,5",,,,,,12480,,,Mercedes
13155,13155,150,Diesel,MPV,Automatisk,2018,31000,"Multivan 2,0 TDi 150 Highline DSG kort",240820,/vwmultivan20tdi150highlinedsgkort/id856595,,,17042018,,7,4,Forhjul,,,"15,4",,,,,4,7720,802253,,VW
13156,13156,141,Benzin,Stationcar,Automatisk,2020,2000,"Ceed 1,6 PHEV Upgrade+ SW DCT",309900,/kiaceed16phevupgradeplusswdct/id856705,,Sølvmetal,25092020,5,6,4,Forhjul,1300,,"47,1","10,8",195,1522,508,6,740,341913,,Kia
13157,13157,160,Benzin,SUV,Automatisk,2020,1000,"Captur 1,6 E-Tech Intens",259800,/renaultcaptur16etechintens/id856688,,,30102020,5,8,4,Forhjul,750,,"35,5","10,1",173,1539,361,6,860,255820,,Renault
13158,13158,306,Diesel,Varevogn,Automatisk,2012,226000,"X6 3,0 xDrive40d aut. Van",219800,/bmwx630xdrive40dautvan/id856589,,Carbonsortmetal,31072012,5,8,6,4x4,2700,85,"13,3","6,5",236,2085,625,,9940,,,BMW
13159,13159,156,Benzin,MPV,Automatisk,2018,41000,"B200 1,6 aut.",289900,/mercedesb20016aut/id860742,,Hvid,30082017,5,7,4,Forhjul,1400,50,"17,9","8,4",220,1425,535,7,1880,373194,,Mercedes
13160,13160,120,Diesel,SUV,Automatisk,2018,22000,"3008 1,6 BlueHDi 120 Allure EAT6",294900,/peugeot300816bluehdi120allureeat6/id856527,,Bronzemetal,19042018,5,6,4,Forhjul,1300,53,"23,8","11,6",185,1512,478,6,3520,351989,,Peugeot
